"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JCPBSKSL","journalArticle","2017","Di Pietro, C.; Zhang, P. X.; O'Rourke, T. K.; Murray, T. S.; Wang, L.; Britto, C. J.; Koff, J. L.; Krause, D. S.; Egan, M. E.; Bruscia, E. M.","Ezrin links CFTR to TLR4 signaling to orchestrate anti-bacterial immune response in macrophages","Sci Rep","","","","","","2017-09","2019-05-25 21:30:54","2019-05-25 21:30:54","","10882","","1","7","","","","","","","","","","","","","","","","","Citation Key: pmid28883468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K27IPX9G","journalArticle","2017","Zou, S.; Teixeira, A. M.; Kostadima, M.; Astle, W. J.; Radhakrishnan, A.; Simon, L. M.; Truman, L.; Fang, J. S.; Hwa, J.; Zhang, P. X.; van der Harst, P.; Bray, P. F.; Ouwehand, W. H.; Frontini, M.; Krause, D. S.","SNP in human ARHGEF3 promoter is associated with DNase hypersensitivity, transcript level and platelet function, and Arhgef3 KO mice have increased mean platelet volume","PLoS ONE","","","","","","2017","2019-05-25 21:30:54","2019-05-25 21:30:54","","e0178095","","5","12","","","","","","","","","","","","","","","","","Citation Key: pmid28542600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEMPCA3G","journalArticle","2017","de Rooij, J. D.; Branstetter, C.; Ma, J.; Li, Y.; Walsh, M. P.; Cheng, J.; Obulkasim, A.; Dang, J.; Easton, J.; Verboon, L. J.; Mulder, H. L.; Zimmermann, M.; Koss, C.; Gupta, P.; Edmonson, M.; Rusch, M.; Lim, J. Y.; Reinhardt, K.; Pigazzi, M.; Song, G.; Yeoh, A. E.; Shih, L. Y.; Liang, D. C.; Halene, S.; Krause, D. S.; Zhang, J.; Downing, J. R.; Locatelli, F.; Reinhardt, D.; van den Heuvel-Eibrink, M. M.; Zwaan, C. M.; Fornerod, M.; Gruber, T. A.","Pediatric non-Down syndrome acute megakaryoblastic leukemia is characterized by distinct genomic subsets with varying outcomes","Nat. Genet.","","","","","","2017-03","2019-05-25 21:30:55","2019-05-25 21:30:55","","451-456","","3","49","","","","","","","","","","","","","","","","","Citation Key: pmid28112737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6ZEDW98","journalArticle","2016","Bahal, R.; Ali McNeer, N.; Quijano, E.; Liu, Y.; Sulkowski, P.; Turchick, A.; Lu, Y. C.; Bhunia, D. C.; Manna, A.; Greiner, D. L.; Brehm, M. A.; Cheng, C. J.; Lopez-Giraldez, F.; Ricciardi, A.; Beloor, J.; Krause, D. S.; Kumar, P.; Gallagher, P. G.; Braddock, D. T.; Mark Saltzman, W.; Ly, D. H.; Glazer, P. M.","In vivo correction of anaemia in Î²-thalassemic mice by Î³PNA-mediated gene editing with nanoparticle delivery","Nat Commun","","","","","","2016-10","2019-05-25 21:30:55","2019-05-25 21:30:55","","13304","","","7","","","","","","","","","","","","","","","","","Citation Key: pmid27782131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZT73E29","journalArticle","2016","Bartulos, O.; Zhuang, Z. W.; Huang, Y.; Mikush, N.; Suh, C.; Bregasi, A.; Wang, L.; Chang, W.; Krause, D. S.; Young, L. H.; Pober, J. S.; Qyang, Y.","ISL1 cardiovascular progenitor cells for cardiac repair after myocardial infarction","JCI Insight","","","","","","2016-07","2019-05-25 21:30:55","2019-05-25 21:30:55","","","","10","1","","","","","","","","","","","","","","","","","Citation Key: pmid27525311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MH8RGBGE","journalArticle","2016","Zou, S.; Teixeira, A. M.; Yin, M.; Xiang, Y.; Xavier-Ferrucio, J.; Zhang, P. X.; Hwa, J.; Min, W.; Krause, D. S.","Leukaemia-associated Rho guanine nucleotide exchange factor (LARG) plays an agonist specific role in platelet function through RhoA activation","Thromb. Haemost.","","","","","","2016-08","2019-05-25 21:30:55","2019-05-25 21:30:55","","506-516","","3","116","","","","","","","","","","","","","","","","","Citation Key: pmid27345948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNNAUBB6","journalArticle","2016","Sanada, C.; Xavier-Ferrucio, J.; Lu, Y. C.; Min, E.; Zhang, P. X.; Zou, S.; Kang, E.; Zhang, M.; Zerafati, G.; Gallagher, P. G.; Krause, D. S.","Adult human megakaryocyte-erythroid progenitors are in the CD34+CD38mid fraction","Blood","","","","","","2016-08","2019-05-25 21:30:55","2019-05-25 21:30:55","","923-933","","7","128","","","","","","","","","","","","","","","","","Citation Key: pmid27268089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8FCAN79U","journalArticle","2016","Krause, D. S.","An oxidase road to platelet adhesion","Blood","","","","","","2016-03","2019-05-25 21:30:56","2019-05-25 21:30:56","","1386","","11","127","","","","","","","","","","","","","","","","","Citation Key: pmid26989190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TTQSTX6","journalArticle","2016","Chae, W. J.; Ehrlich, A. K.; Chan, P. Y.; Teixeira, A. M.; Henegariu, O.; Hao, L.; Shin, J. H.; Park, J. H.; Tang, W. H.; Kim, S. T.; Maher, S. E.; Goldsmith-Pestana, K.; Shan, P.; Hwa, J.; Lee, P. J.; Krause, D. S.; Rothlin, C. V.; McMahon-Pratt, D.; Bothwell, A. L.","The Wnt Antagonist Dickkopf-1 Promotes Pathological Type 2 Cell-Mediated Inflammation","Immunity","","","","","","2016-02","2019-05-25 21:30:56","2019-05-25 21:30:56","","246-258","","2","44","","","","","","","","","","","","","","","","","Citation Key: pmid26872695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FI46D5UZ","journalArticle","2016","Bruscia, E. M.; Zhang, P. X.; Barone, C.; Scholte, B. J.; Homer, R.; Krause, D. S.; Egan, M. E.","Increased susceptibility of Cftr-/- mice to LPS-induced lung remodeling","Am. J. Physiol. Lung Cell Mol. Physiol.","","","","","","2016-04","2019-05-25 21:30:56","2019-05-25 21:30:56","","L711-719","","8","310","","","","","","","","","","","","","","","","","Citation Key: pmid26851259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AQEVTHW","journalArticle","2015","Sui, Z.; Nowak, R. B.; Sanada, C.; Halene, S.; Krause, D. S.; Fowler, V. M.","Regulation of actin polymerization by tropomodulin-3 controls megakaryocyte actin organization and platelet biogenesis","Blood","","","","","","2015-07","2019-05-25 21:30:56","2019-05-25 21:30:56","","520-530","","4","126","","","","","","","","","","","","","","","","","Citation Key: pmid25964668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WL6IMAB","journalArticle","2015","Zhang, P. X.; Cheng, J.; Zou, S.; D'Souza, A. D.; Koff, J. L.; Lu, J.; Lee, P. J.; Krause, D. S.; Egan, M. E.; Bruscia, E. M.","Pharmacological modulation of the AKT/microRNA-199a-5p/CAV1 pathway ameliorates cystic fibrosis lung hyper-inflammation","Nat Commun","","","","","","2015-02","2019-05-25 21:30:56","2019-05-25 21:30:56","","6221","","","6","","","","","","","","","","","","","","","","","Citation Key: pmid25665524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8FERZL3","journalArticle","2015","Halene, S.; Krause, D. S.","Stem cell maintenance: aMPLe splicing choices","Blood","","","","","","2015-02","2019-05-25 21:30:56","2019-05-25 21:30:56","","891-892","","6","125","","","","","","","","","","","","","","","","","Citation Key: pmid25655452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VF7N3Q76","journalArticle","2014","Guo, S.; Zi, X.; Schulz, V. P.; Cheng, J.; Zhong, M.; Koochaki, S. H.; Megyola, C. M.; Pan, X.; Heydari, K.; Weissman, S. M.; Gallagher, P. G.; Krause, D. S.; Fan, R.; Lu, J.","Nonstochastic reprogramming from a privileged somatic cell state","Cell","","","","","","2014-02","2019-05-25 21:30:57","2019-05-25 21:30:57","","649-662","","4","156","","","","","","","","","","","","","","","","","Citation Key: pmid24486105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYG3G4Q8","journalArticle","2014","Kim, Y.; Schulz, V. P.; Satake, N.; Gruber, T. A.; Teixeira, A. M.; Halene, S.; Gallagher, P. G.; Krause, D. S.","Whole-exome sequencing identifies a novel somatic mutation in MMP8 associated with a t(1;22)-acute megakaryoblastic leukemia","Leukemia","","","","","","2014-04","2019-05-25 21:30:57","2019-05-25 21:30:57","","945-948","","4","28","","","","","","","","","","","","","","","","","Citation Key: pmid24157583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTNNLAX3","journalArticle","2013","Krause, D. S.; Crispino, J. D.","Molecular pathways: induction of polyploidy as a novel differentiation therapy for leukemia","Clin. Cancer Res.","","","","","","2013-11","2019-05-25 21:30:57","2019-05-25 21:30:57","","6084-6088","","22","19","","","","","","","","","","","","","","","","","Citation Key: pmid23963861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3VUCZCW","journalArticle","2013","Lawton, B. R.; Sosa, J. A.; Roman, S.; Krause, D. S.","Effect of a matrigel sandwich on endodermal differentiation of human embryonic stem cells","Stem Cell Rev","","","","","","2013-10","2019-05-25 21:30:57","2019-05-25 21:30:57","","578-585","","5","9","","","","","","","","","","","","","","","","","Citation Key: pmid23719997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIR6SZJ6","journalArticle","2013","Kassmer, S. H.; Jin, H.; Zhang, P. X.; Bruscia, E. M.; Heydari, K.; Lee, J. H.; Kim, C. F.; Kassmer, S. H.; Krause, D. S.; Krouse, D.","Very small embryonic-like stem cells from the murine bone marrow differentiate into epithelial cells of the lung","Stem Cells","","","","","","2013-12","2019-05-25 21:30:57","2019-05-25 21:30:57","","2759-2766","","12","31","","","","","","","","","","","","","","","","","Citation Key: pmid23681901","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HN5HVIA3","journalArticle","2013","Zhang, P. X.; Murray, T. S.; Villella, V. R.; Ferrari, E.; Esposito, S.; D'Souza, A.; Raia, V.; Maiuri, L.; Krause, D. S.; Egan, M. E.; Bruscia, E. M.","Reduced caveolin-1 promotes hyperinflammation due to abnormal heme oxygenase-1 localization in lipopolysaccharide-challenged macrophages with dysfunctional cystic fibrosis transmembrane conductance regulator","J. Immunol.","","","","","","2013-05","2019-05-25 21:30:57","2019-05-25 21:30:57","","5196-5206","","10","190","","","","","","","","","","","","","","","","","Citation Key: pmid23606537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J58MBHJ7","journalArticle","2013","Kassmer, S. H.; Krause, D. S.","Very small embryonic-like cells: biology and function of these potential endogenous pluripotent stem cells in adult tissues","Mol. Reprod. Dev.","","","","","","2013-08","2019-05-25 21:30:57","2019-05-25 21:30:57","","677-690","","8","80","","","","","","","","","","","","","","","","","Citation Key: pmid23440892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJAXAVEX","journalArticle","2013","Megyola, C. M.; Gao, Y.; Teixeira, A. M.; Cheng, J.; Heydari, K.; Cheng, E. C.; Nottoli, T.; Krause, D. S.; Lu, J.; Guo, S.","Dynamic migration and cell-cell interactions of early reprogramming revealed by high-resolution time-lapse imaging","Stem Cells","","","","","","2013-05","2019-05-25 21:30:57","2019-05-25 21:30:57","","895-905","","5","31","","","","","","","","","","","","","","","","","Citation Key: pmid23335078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLVUT8FI","journalArticle","2013","Smith, E. C.; Teixeira, A. M.; Chen, R. C.; Wang, L.; Gao, Y.; Hahn, K. L.; Krause, D. S.","Induction of megakaryocyte differentiation drives nuclear accumulation and transcriptional function of MKL1 via actin polymerization and RhoA activation","Blood","","","","","","2013-02","2019-05-25 21:30:58","2019-05-25 21:30:58","","1094-1101","","7","121","","","","","","","","","","","","","","","","","Citation Key: pmid23243284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64K8R8A5","journalArticle","2012","Guo, S.; Bai, H.; Megyola, C. M.; Halene, S.; Krause, D. S.; Scadden, D. T.; Lu, J.","Complex oncogene dependence in microRNA-125a-induced myeloproliferative neoplasms","Proc. Natl. Acad. Sci. U.S.A.","","","","","","2012-10","2019-05-25 21:30:58","2019-05-25 21:30:58","","16636-16641","","41","109","","","","","","","","","","","","","","","","","Citation Key: pmid23012470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLSNT3X6","journalArticle","2013","D'Souza, A. D.; Parish, I. A.; Krause, D. S.; Kaech, S. M.; Shadel, G. S.","Reducing mitochondrial ROS improves disease-related pathology in a mouse model of ataxia-telangiectasia","Mol. Ther.","","","","","","2013-01","2019-05-25 21:30:58","2019-05-25 21:30:58","","42-48","","1","21","","","","","","","","","","","","","","","","","Citation Key: pmid23011031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XE3QR9E7","journalArticle","2012","Smith, E. C.; Thon, J. N.; Devine, M. T.; Lin, S.; Schulz, V. P.; Guo, Y.; Massaro, S. A.; Halene, S.; Gallagher, P.; Italiano, J. E.; Krause, D. S.","MKL1 and MKL2 play redundant and crucial roles in megakaryocyte maturation and platelet formation","Blood","","","","","","2012-09","2019-05-25 21:30:58","2019-05-25 21:30:58","","2317-2329","","11","120","","","","","","","","","","","","","","","","","Citation Key: pmid22806889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMCEM48Q","journalArticle","2012","Cooper, D. L.; Proytcheva, M.; Medoff, E.; Seropian, S. E.; Snyder, E. L.; Krause, D. S.; Wu, Y.","Successful collection and engraftment of autologous peripheral blood progenitor cells in poorly mobilized patients receiving high-dose granulocyte colony-stimulating factor","J Clin Apher","","","","","","2012-11","2019-05-25 21:30:58","2019-05-25 21:30:58","","235-241","","5","27","","","","","","","","","","","","","","","","","Citation Key: pmid22566214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2LXI9G5","journalArticle","2012","Gao, Y.; Smith, E.; Ker, E.; Campbell, P.; Cheng, E. C.; Zou, S.; Lin, S.; Wang, L.; Halene, S.; Krause, D. S.","Role of RhoA-specific guanine exchange factors in regulation of endomitosis in megakaryocytes","Dev. Cell","","","","","","2012-03","2019-05-25 21:30:59","2019-05-25 21:30:59","","573-584","","3","22","","","","","","","","","","","","","","","","","Citation Key: pmid22387001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQIVLPVC","journalArticle","2012","Truman, L. A.; Bentley, K. L.; Smith, E. C.; Massaro, S. A.; Gonzalez, D. G.; Haberman, A. M.; Hill, M.; Jones, D.; Min, W.; Krause, D. S.; Ruddle, N. H.","ProxTom lymphatic vessel reporter mice reveal Prox1 expression in the adrenal medulla, megakaryocytes, and platelets","Am. J. Pathol.","","","","","","2012-04","2019-05-25 21:30:59","2019-05-25 21:30:59","","1715-1725","","4","180","","","","","","","","","","","","","","","","","Citation Key: pmid22310467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYKNYKSR","journalArticle","2012","Guo, J. K.; Marlier, A.; Shi, H.; Shan, A.; Ardito, T. A.; Du, Z. P.; Kashgarian, M.; Krause, D. S.; Biemesderfer, D.; Cantley, L. G.","Increased tubular proliferation as an adaptive response to glomerular albuminuria","J. Am. Soc. Nephrol.","","","","","","2012-03","2019-05-25 21:30:59","2019-05-25 21:30:59","","429-437","","3","23","","","","","","","","","","","","","","","","","Citation Key: pmid22193389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7ZLAEF2","journalArticle","2012","Kassmer, S. H.; Bruscia, E. M.; Zhang, P. X.; Krause, D. S.","Nonhematopoietic cells are the primary source of bone marrow-derived lung epithelial cells","Stem Cells","","","","","","2012-03","2019-05-25 21:30:59","2019-05-25 21:30:59","","491-499","","3","30","","","","","","","","","","","","","","","","","Citation Key: pmid22162244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVSK8VIS","journalArticle","2012","Qian, L.; Krause, D. S.; Saltzman, W. M.","Enhanced growth and hepatic differentiation of fetal liver epithelial cells through combinational and temporal adjustment of soluble factors","Biotechnol J","","","","","","2012-03","2019-05-25 21:31:00","2019-05-25 21:31:00","","440-448","","3","7","","","","","","","","","","","","","","","","","Citation Key: pmid21922669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KASAZ2L","journalArticle","2012","Rogers, F. A.; Lin, S. S.; Hegan, D. C.; Krause, D. S.; Glazer, P. M.","Targeted gene modification of hematopoietic progenitor cells in mice following systemic administration of a PNA-peptide conjugate","Mol. Ther.","","","","","","2012-01","2019-05-25 21:31:01","2019-05-25 21:31:01","","109-118","","1","20","","","","","","","","","","","","","","","","","Citation Key: pmid21829173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4VF2GQL","journalArticle","2011","Bruscia, E. M.; Zhang, P. X.; Satoh, A.; Caputo, C.; Medzhitov, R.; Shenoy, A.; Egan, M. E.; Krause, D. S.","Abnormal trafficking and degradation of TLR4 underlie the elevated inflammatory response in cystic fibrosis","J. Immunol.","","","","","","2011-06","2019-05-25 21:31:01","2019-05-25 21:31:01","","6990-6998","","12","186","","","","","","","","","","","","","","","","","Citation Key: pmid21593379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZHPY6TE","journalArticle","2011","Hibino, N.; Villalona, G.; Pietris, N.; Duncan, D. R.; Schoffner, A.; Roh, J. D.; Yi, T.; Dobrucki, L. W.; Mejias, D.; Sawh-Martinez, R.; Harrington, J. K.; Sinusas, A.; Krause, D. S.; Kyriakides, T.; Saltzman, W. M.; Pober, J. S.; Shin'oka, T.; Breuer, C. K.","Tissue-engineered vascular grafts form neovessels that arise from regeneration of the adjacent blood vessel","FASEB J.","","","","","","2011-08","2019-05-25 21:31:01","2019-05-25 21:31:01","","2731-2739","","8","25","","","","","","","","","","","","","","","","","Citation Key: pmid21566209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44958IWW","journalArticle","2011","Massaro, S. A.; Bajaj, R.; Pashankar, F. D.; Ornstein, D.; Gallagher, P. G.; Krause, D. S.; Li, P.","Bi-allelic deletions within 13q14 and transient trisomy 21 with absence of GATA1s in pediatric acute megakaryoblastic leukemia","Pediatr Blood Cancer","","","","","","2011-09","2019-05-25 21:31:02","2019-05-25 21:31:02","","516-519","","3","57","","","","","","","","","","","","","","","","","Citation Key: pmid21538823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ2P6JY9","journalArticle","2010","Halene, S.; Gao, Y.; Hahn, K.; Massaro, S.; Italiano, J. E.; Schulz, V.; Lin, S.; Kupfer, G. M.; Krause, D. S.","Serum response factor is an essential transcription factor in megakaryocytic maturation","Blood","","","","","","2010-09","2019-05-25 21:31:02","2019-05-25 21:31:02","","1942-1950","","11","116","","","","","","","","","","","","","","","","","Citation Key: pmid20525922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
